Date,Hour,CensusTract,NumberOfReports
01/13/2020,10 AM,235.02,1
11/21/2019,11 PM,76.0,1
12/06/2019,09 AM,1571.01,1
12/22/2019,08 PM,6.01,1
06/21/2019,06 PM,137.0,1
11/19/2019,10 PM,68.02,1
02/11/2019,02 PM,83.01,1
01/03/2020,03 PM,119.0,1
12/23/2019,01 PM,1093.0,1
01/08/2020,09 AM,1123.0,1
01/09/2020,11 AM,128.03,1
08/30/2019,11 AM,997.01,1
01/02/2020,02 PM,103.0,1
07/16/2019,03 PM,113.0,1
01/08/2020,05 PM,50.02,1
01/08/2020,11 AM,139.0,1
12/12/2019,09 PM,75.0,1
11/14/2019,07 PM,1347.02,1
03/12/2019,10 AM,9.0,1
01/06/2020,02 AM,139.0,1
12/13/2019,09 AM,122.02,1
01/13/2020,08 AM,101.0,1
12/23/2019,10 PM,30.01,1
01/09/2020,03 PM,189.0,1
01/08/2020,10 AM,138.0,1
12/25/2019,08 PM,15.01,1
11/14/2019,01 PM,351.0,1
08/03/2019,12 PM,113.0,1
01/09/2020,01 PM,107.01,1
12/21/2019,06 PM,11.01,1
08/16/2019,05 PM,173.0,1
12/04/2019,03 PM,1551.04,1
01/08/2020,06 PM,102.0,1
10/30/2019,10 AM,217.03,1
12/27/2019,07 AM,32.0,1
12/23/2019,10 AM,1241.0,1
10/13/2019,06 PM,131.04,1
11/01/2019,12 PM,67.0,1
12/21/2019,09 AM,1175.0,1
01/14/2020,10 AM,67.0,1
12/06/2019,10 AM,74.01,1
01/13/2020,06 PM,149.0,1
01/07/2020,04 PM,31.0,1
12/04/2019,12 AM,859.0,1
12/02/2019,01 PM,130.0,1
09/20/2019,01 PM,103.0,1
03/29/2019,04 PM,17.02,1
12/11/2019,09 AM,68.01,1
01/08/2020,10 AM,340.0,1
12/21/2019,05 PM,1265.0,1
11/03/2019,09 AM,237.02,1
11/19/2019,09 AM,164.0,1
04/11/2019,02 PM,68.01,1
10/26/2019,02 PM,54.0,1
09/16/2019,01 PM,72.0,1
12/16/2019,10 AM,140.0,1
01/14/2020,11 AM,109.02,1
12/12/2019,12 PM,131.04,1
08/15/2019,11 AM,148.08,1
01/06/2020,03 PM,71.0,1
10/24/2019,10 AM,120.0,1
10/14/2019,01 PM,79.0,1
12/27/2019,01 PM,23.0,1
12/15/2019,10 AM,1579.03,1
11/09/2018,08 AM,1039.0,1
10/25/2019,08 PM,112.02,1
04/07/2019,12 PM,67.0,1
12/22/2019,12 PM,75.0,1
01/09/2020,01 PM,31.0,1
01/10/2020,11 AM,145.0,1
12/24/2019,11 PM,1409.02,2
12/28/2019,08 PM,199.01,1
10/20/2019,10 AM,403.03,1
08/08/2019,11 AM,146.01,1
11/18/2019,10 AM,151.0,1
01/10/2020,12 PM,263.0,1
12/28/2019,06 PM,53.0,1
01/07/2020,09 AM,16.0,1
01/10/2020,01 PM,132.02,1
12/10/2019,03 PM,89.0,1
01/12/2020,02 PM,14.01,1
07/09/2019,10 AM,69.0,1
10/18/2019,01 PM,97.02,1
01/02/2020,08 PM,516.01,1
01/05/2020,11 AM,265.0,1
12/16/2019,09 AM,76.0,1
10/21/2019,10 AM,216.0,1
01/10/2020,09 AM,59.02,1
11/06/2019,11 AM,1551.03,1
12/06/2019,11 AM,103.0,1
01/07/2020,09 AM,99.0,2
11/08/2019,08 AM,148.11,1
10/16/2019,10 AM,1551.04,1
11/06/2019,04 PM,100.0,1
01/04/2020,09 AM,1113.0,1
12/11/2019,04 PM,69.0,1
01/10/2020,09 AM,155.0,1
01/07/2020,12 PM,251.0,1
05/14/2018,08 PM,63.01,1
01/13/2020,03 PM,79.0,1
12/23/2019,08 AM,72.0,1
01/14/2020,05 PM,67.0,1
12/08/2019,10 AM,1347.01,1
12/26/2019,02 PM,382.0,1
01/09/2020,07 PM,199.0,1
10/20/2019,03 PM,112.03,1
12/19/2019,11 AM,82.0,1
11/21/2019,09 AM,65.0,1
09/10/2019,10 AM,113.0,1
12/19/2019,09 AM,24.05,1
02/16/2019,02 PM,24.03,1
12/21/2019,12 PM,1551.04,1
01/09/2020,10 AM,225.0,1
11/17/2019,12 AM,201.0,1
12/16/2019,10 AM,1291.02,1
01/02/2020,07 AM,14.02,1
01/14/2020,02 PM,51.0,1
11/23/2019,01 PM,277.0,1
12/12/2019,11 AM,32.0,1
01/05/2020,11 AM,68.02,1
01/10/2020,05 PM,1467.0,1
11/11/2019,12 PM,21.05,1
11/21/2019,10 AM,1277.0,1
02/11/2019,10 AM,87.0,1
01/08/2020,10 AM,189.0,1
09/19/2019,10 AM,35.0,1
09/30/2019,06 PM,110.0,1
11/21/2019,12 PM,85.0,1
11/25/2019,03 PM,14.02,1
01/10/2020,09 AM,81.0,1
07/19/2019,10 AM,89.0,1
12/29/2019,12 AM,6.02,1
12/08/2019,09 AM,32.0,1
01/03/2020,02 PM,83.02,1
06/19/2019,09 AM,126.01,1
01/11/2020,11 AM,157.0,1
12/07/2019,11 PM,297.0,1
12/29/2019,11 AM,98.0,1
11/13/2019,12 PM,68.02,1
05/22/2019,10 AM,31.0,1
12/08/2019,12 PM,39.0,1
12/23/2019,09 AM,150.02,1
01/12/2020,03 PM,1175.0,1
12/16/2019,05 PM,107.01,1
11/06/2019,08 PM,68.01,1
01/03/2020,08 PM,73.0,1
01/09/2020,04 PM,199.0,1
12/04/2019,10 AM,76.0,1
01/12/2020,12 PM,85.0,1
12/05/2019,10 PM,233.0,1
09/19/2019,10 AM,76.0,1
11/25/2019,12 PM,1205.0,1
12/06/2019,12 PM,91.0,1
12/13/2019,02 PM,106.0,1
11/19/2019,05 PM,1291.02,1
12/07/2019,11 AM,123.01,1
12/16/2019,01 PM,138.0,1
01/07/2020,06 AM,65.0,1
12/12/2019,01 PM,131.02,1
12/26/2019,10 PM,67.0,1
01/08/2020,11 AM,79.0,1
12/06/2019,10 AM,143.0,1
09/11/2019,10 AM,72.0,1
05/30/2019,12 PM,809.0,1
12/25/2019,01 PM,50.0,1
12/12/2019,09 AM,77.0,1
12/13/2019,01 PM,87.0,1
12/26/2019,09 AM,414.0,1
12/13/2019,11 AM,386.0,1
01/06/2020,03 PM,119.02,1
12/04/2019,10 PM,85.0,1
06/03/2019,01 PM,74.01,1
12/26/2019,07 PM,65.0,1
12/15/2019,09 AM,32.0,1
01/06/2020,01 PM,141.0,1
01/10/2020,09 AM,131.04,1
01/12/2020,07 PM,114.01,1
12/13/2019,09 PM,139.0,1
09/18/2019,11 AM,1175.0,1
06/27/2018,02 PM,1199.0,1
11/09/2019,09 AM,16.0,1
01/04/2020,06 PM,1175.0,1
05/23/2019,11 AM,17.02,1
01/03/2020,08 AM,218.0,1
01/06/2020,04 PM,139.0,1
01/14/2020,08 AM,21.04,1
01/11/2020,09 AM,131.04,1
01/14/2020,08 AM,100.0,1
10/27/2019,02 PM,39.0,1
11/30/2019,04 PM,109.0,1
01/07/2020,09 AM,85.0,1
01/06/2020,01 PM,6.0,1
06/15/2019,04 PM,132.01,1
12/13/2019,01 PM,101.0,1
12/14/2019,10 AM,79.0,1
06/23/2019,10 AM,77.0,1
10/05/2019,01 PM,109.02,1
12/27/2019,12 PM,15.04,1
12/29/2019,02 PM,29.02,1
12/04/2019,10 AM,84.03,1
12/13/2019,08 AM,97.01,1
09/08/2019,05 PM,113.0,1
09/24/2019,09 PM,111.0,1
12/16/2019,01 PM,345.0,1
08/15/2019,11 AM,41.0,1
12/04/2019,01 PM,1441.0,1
12/16/2019,07 PM,97.0,1
01/10/2020,11 AM,837.0,1
11/22/2019,10 AM,13.02,1
12/27/2019,11 AM,21.01,1
01/01/2020,08 PM,39.0,1
10/02/2019,01 PM,67.0,1
08/14/2019,01 PM,131.04,1
12/16/2019,11 PM,1291.02,1
01/01/2020,06 PM,109.03,1
01/03/2020,10 AM,148.05,1
01/05/2020,09 PM,116.02,1
12/05/2019,11 AM,516.01,1
12/07/2019,02 AM,64.0,1
12/31/2019,10 AM,67.0,1
01/13/2020,01 PM,256.0,1
11/14/2019,02 PM,68.02,1
01/18/2019,08 AM,73.0,1
12/20/2019,09 AM,131.04,1
12/27/2019,04 PM,1215.0,1
01/06/2020,09 AM,173.0,1
12/21/2019,03 PM,189.0,1
11/21/2019,10 AM,75.0,1
01/02/2020,09 AM,67.0,1
01/07/2020,10 AM,1441.0,1
01/06/2020,09 AM,122.01,1
12/13/2019,04 PM,107.01,1
12/17/2019,11 AM,91.0,1
01/04/2020,08 AM,1151.0,1
01/08/2020,09 AM,138.0,1
01/14/2020,11 AM,107.02,1
10/14/2019,10 AM,1409.01,1
11/26/2019,10 AM,132.01,1
08/23/2019,06 AM,4.03,1
12/19/2019,01 PM,47.0,1
12/28/2019,12 PM,1189.0,1
01/07/2020,02 PM,6.0,1
01/08/2020,08 AM,889.02,1
12/17/2019,07 AM,145.0,1
10/21/2019,11 AM,149.0,1
01/04/2020,12 PM,1175.0,1
01/12/2020,10 AM,33.0,1
01/07/2020,09 PM,135.01,1
12/16/2019,12 PM,779.04,2
08/10/2018,09 AM,131.02,1
01/01/2020,08 PM,47.0,1
01/14/2020,10 AM,80.0,1
12/24/2019,12 PM,68.01,1
12/25/2019,10 PM,1459.0,1
01/09/2020,06 PM,15.02,1
12/06/2019,02 PM,267.02,1
11/05/2019,09 AM,66.0,1
01/13/2020,12 PM,113.0,1
05/11/2019,12 AM,21.0,1
01/06/2020,09 AM,1223.0,1
01/12/2020,11 AM,242.0,1
01/13/2020,09 AM,68.0,1
11/30/2019,10 AM,1417.0,1
11/23/2019,10 AM,83.02,1
01/03/2020,01 PM,73.0,1
12/23/2019,05 PM,58.0,1
12/26/2019,01 PM,245.0,1
01/09/2020,04 PM,40.01,1
01/09/2020,11 AM,118.0,1
12/31/2019,11 AM,132.01,1
01/08/2020,12 PM,68.02,1
08/25/2019,01 PM,74.01,1
01/02/2020,09 AM,141.0,1
09/27/2019,02 PM,114.01,1
06/19/2019,09 PM,13.02,1
10/15/2019,06 PM,13.02,1
01/02/2020,02 PM,1483.0,1
01/13/2020,02 PM,83.01,1
01/06/2020,04 PM,183.0,1
01/14/2020,09 AM,217.0,1
12/05/2019,11 AM,1291.02,1
03/18/2019,12 PM,74.02,1
12/04/2019,11 AM,104.0,1
08/26/2019,10 AM,92.0,1
01/08/2020,04 PM,148.02,1
09/27/2019,11 AM,131.04,1
11/11/2019,09 AM,63.02,1
11/05/2019,11 AM,80.0,1
12/13/2019,07 AM,48.02,1
12/21/2019,01 PM,1265.0,1
10/30/2019,05 PM,83.02,1
09/09/2019,01 PM,1429.0,1
10/25/2019,11 AM,83.02,1
01/07/2020,11 AM,138.0,1
12/22/2019,04 PM,1175.0,1
01/07/2020,11 AM,9810.0,1
11/20/2019,06 PM,6.02,1
12/17/2019,05 PM,67.0,1
01/13/2020,02 AM,14.01,1
01/14/2019,03 PM,57.04,1
06/15/2019,11 AM,81.0,1
12/05/2019,11 AM,1621.0,1
01/09/2020,12 PM,193.0,1
01/13/2020,01 PM,47.0,1
09/23/2019,12 PM,947.0,1
12/10/2019,09 AM,160.0,1
12/18/2019,08 AM,21.01,1
01/07/2020,01 PM,113.0,1
12/16/2019,03 PM,51.0,1
12/31/2019,03 PM,114.01,1
01/04/2020,11 AM,130.0,1
03/07/2019,08 AM,143.0,1
12/21/2019,01 AM,66.0,1
01/02/2020,06 PM,133.0,1
01/13/2020,10 AM,1291.03,1
11/12/2019,08 AM,78.0,1
01/14/2020,11 AM,73.0,1
01/09/2020,11 AM,75.0,1
12/21/2019,05 PM,1463.0,1
11/02/2019,10 AM,15.01,1
12/21/2019,11 AM,93.01,1
01/04/2019,02 PM,1039.0,1
12/22/2019,01 PM,1241.0,1
01/14/2020,01 PM,109.0,1
11/27/2019,10 AM,34.0,1
01/08/2020,01 PM,31.0,1
12/25/2019,11 PM,68.01,1
10/25/2019,03 PM,68.02,1
12/04/2019,08 AM,118.0,1
01/03/2020,03 PM,114.01,1
12/20/2019,06 AM,542.0,1
11/10/2019,04 PM,70.0,1
12/21/2019,09 PM,132.02,1
09/29/2019,09 AM,13.05,1
01/08/2020,01 PM,84.03,1
09/17/2019,02 PM,1463.0,1
12/13/2019,04 PM,328.0,1
09/09/2019,08 PM,112.02,1
12/12/2019,08 PM,108.01,1
09/11/2019,06 PM,119.0,1
12/21/2019,12 PM,112.0,1
01/09/2020,02 PM,67.0,1
12/18/2019,07 AM,380.0,1
01/04/2020,12 PM,48.02,1
01/10/2020,03 PM,131.04,1
11/27/2019,11 AM,96.0,1
01/02/2020,10 AM,267.01,1
01/13/2020,12 PM,85.0,1
12/23/2019,11 AM,170.0,1
01/09/2020,05 PM,87.0,1
12/27/2019,07 PM,151.0,1
12/28/2019,04 PM,98.0,1
01/08/2020,11 AM,123.04,1
01/10/2019,11 AM,40.02,1
01/08/2020,01 PM,20.0,1
01/02/2020,12 PM,1215.0,1
11/02/2019,09 AM,46.0,1
09/05/2019,07 PM,9.0,1
06/26/2019,11 AM,1417.0,1
12/02/2019,10 AM,108.04,1
11/08/2019,02 PM,109.0,1
01/06/2020,10 AM,2.03,1
01/02/2020,11 AM,147.03,1
12/29/2019,09 PM,426.0,1
01/02/2020,11 AM,84.04,1
01/14/2020,10 AM,456.0,1
11/16/2019,07 PM,1409.01,1
01/09/2020,02 PM,136.0,1
12/14/2019,09 AM,70.0,1
01/05/2020,11 AM,51.0,1
01/07/2020,09 AM,111.01,1
11/07/2019,04 PM,1399.0,1
12/30/2019,06 PM,779.03,1
01/03/2020,12 PM,145.0,1
12/16/2019,08 AM,237.02,1
07/24/2019,09 AM,237.0,1
01/04/2020,09 AM,426.0,1
01/11/2020,12 PM,79.02,1
12/15/2019,09 AM,85.0,1
12/25/2019,03 AM,19.0,1
12/22/2019,10 AM,139.0,1
12/22/2019,08 AM,71.0,1
10/24/2019,02 PM,83.02,1
07/20/2019,10 AM,398.0,1
01/13/2020,10 AM,1551.03,1
07/17/2019,11 AM,121.01,1
08/26/2019,10 AM,95.0,1
01/03/2020,04 PM,83.02,1
01/14/2020,12 PM,779.02,1
12/13/2019,05 PM,21.01,1
11/05/2019,01 PM,111.01,1
12/05/2019,09 AM,123.03,1
01/13/2020,11 AM,14.01,1
12/14/2019,11 AM,23.0,1
06/22/2019,08 PM,9.0,1
01/13/2020,02 PM,79.0,1
01/06/2020,09 AM,53.0,1
01/06/2020,02 PM,50.02,1
12/10/2019,12 PM,4.0,1
12/23/2019,11 AM,1247.0,1
12/06/2019,11 AM,385.0,1
12/12/2019,08 PM,63.02,1
01/21/2019,09 PM,92.0,1
01/13/2020,04 PM,1333.0,1
07/18/2019,10 PM,104.0,1
01/08/2020,11 AM,68.02,1
10/28/2019,11 AM,100.0,1
01/02/2020,09 AM,462.07,1
01/08/2020,03 PM,15.01,1
12/14/2019,01 PM,99.0,1
