Date,Hour,CensusTract,NumberOfReports
01/10/2020,08 AM,1403.0,1
01/14/2020,10 AM,93.01,1
01/08/2020,12 PM,50.01,1
01/13/2020,03 PM,86.03,1
12/07/2019,11 AM,414.0,1
01/04/2020,02 PM,1551.04,1
12/27/2019,02 PM,78.0,1
01/03/2020,10 AM,68.01,1
07/23/2019,04 PM,83.02,1
01/09/2020,04 PM,8.01,1
03/22/2019,05 PM,24.03,1
11/21/2019,10 AM,63.01,1
01/04/2020,07 AM,148.06,1
11/18/2019,10 AM,462.03,1
01/06/2020,02 PM,116.02,1
01/12/2020,05 PM,166.0,1
01/02/2020,06 PM,81.0,1
10/16/2019,10 AM,22.04,1
01/10/2020,10 AM,426.0,1
12/06/2019,07 AM,148.11,1
01/12/2020,12 PM,15.02,1
01/10/2020,09 AM,221.01,1
01/13/2020,03 PM,101.0,1
01/13/2020,06 PM,1265.0,2
07/16/2019,12 PM,131.02,1
12/26/2019,05 PM,59.01,1
04/10/2019,01 PM,319.0,1
09/25/2019,02 PM,132.01,1
12/06/2019,09 AM,1059.0,1
12/22/2019,08 AM,295.0,1
01/02/2020,09 AM,98.0,1
11/27/2019,10 AM,1551.03,1
11/26/2019,01 PM,1579.01,1
12/12/2019,09 AM,110.0,1
01/09/2020,09 PM,21.05,1
12/23/2019,03 PM,33.0,1
07/28/2019,02 PM,106.0,1
01/04/2020,12 PM,70.0,1
01/14/2020,11 AM,39.0,1
01/10/2020,06 PM,93.0,1
12/27/2019,12 AM,58.0,1
01/02/2020,02 PM,516.01,1
01/13/2020,11 AM,199.02,1
01/13/2020,02 PM,11.01,1
01/12/2020,07 AM,50.01,1
01/04/2020,10 PM,27.0,1
01/06/2020,11 AM,73.0,1
02/21/2019,02 PM,133.04,1
12/31/2019,01 PM,76.0,1
05/08/2019,11 AM,80.0,1
12/14/2019,06 PM,98.0,1
12/21/2019,10 AM,406.0,1
12/06/2019,09 PM,139.0,1
01/13/2020,09 AM,26.02,1
12/09/2019,08 AM,1621.0,1
01/06/2020,11 AM,119.02,1
01/13/2020,08 AM,14.02,1
12/14/2019,09 AM,139.0,1
01/08/2020,08 AM,139.0,1
09/05/2019,10 AM,67.0,1
12/26/2019,02 PM,112.0,1
01/13/2020,02 PM,114.02,1
12/21/2019,01 PM,1551.04,1
11/26/2019,10 AM,222.0,1
02/06/2019,10 AM,37.0,1
12/07/2019,01 AM,104.0,1
12/23/2019,02 PM,273.0,1
11/23/2019,05 PM,130.0,1
11/14/2019,02 PM,69.0,1
01/03/2020,04 PM,66.0,1
01/13/2020,01 PM,1247.0,1
12/27/2019,07 AM,113.0,1
12/30/2019,12 PM,273.0,1
12/05/2019,09 PM,859.0,1
12/18/2019,11 AM,95.0,1
12/31/2019,12 PM,112.0,1
01/02/2020,08 PM,57.04,1
11/27/2019,01 PM,939.0,1
12/06/2019,03 PM,76.0,1
12/28/2019,05 AM,55.0,1
01/13/2020,05 PM,52.0,1
01/14/2020,09 AM,85.0,1
12/12/2019,05 PM,36.0,1
12/25/2019,02 PM,77.0,1
12/20/2019,10 AM,24.03,1
12/13/2019,09 AM,123.01,1
11/12/2019,08 PM,72.0,1
12/03/2019,05 PM,103.0,1
08/15/2019,12 PM,68.02,1
12/16/2019,06 PM,448.0,1
01/11/2019,10 PM,127.0,1
12/16/2019,01 PM,37.0,1
12/26/2019,07 AM,50.02,1
11/23/2019,05 PM,803.02,1
12/27/2019,06 PM,112.0,1
12/13/2019,05 PM,1097.0,1
12/20/2019,01 PM,11.02,1
12/24/2019,10 PM,17.01,2
12/14/2019,11 AM,72.0,1
06/07/2019,10 AM,1621.0,1
12/17/2019,06 PM,1507.02,1
09/19/2019,03 PM,32.0,1
01/04/2020,03 PM,100.0,1
01/04/2020,08 AM,2.02,1
01/07/2020,10 AM,121.02,1
11/02/2019,08 PM,100.0,1
01/14/2020,11 AM,161.0,1
12/07/2019,03 PM,153.02,1
12/08/2019,07 PM,1291.02,1
11/26/2019,02 PM,1417.0,1
08/08/2019,12 PM,97.02,1
12/10/2019,01 PM,148.09,1
12/14/2019,03 AM,66.0,1
12/24/2019,10 AM,69.0,1
01/03/2020,09 AM,129.02,1
01/06/2020,07 PM,18.0,1
12/16/2019,01 PM,72.0,1
01/07/2020,10 AM,66.0,1
01/15/2019,02 PM,67.0,1
10/14/2019,07 PM,120.0,1
12/28/2019,12 PM,113.0,1
12/08/2019,10 AM,77.0,1
01/06/2020,06 PM,85.0,1
11/07/2019,12 PM,63.0,1
12/31/2019,09 AM,115.0,1
01/07/2020,04 PM,716.0,1
08/30/2019,08 AM,1139.0,1
12/13/2019,09 AM,371.0,1
01/06/2020,03 PM,160.0,1
12/21/2019,05 PM,72.0,1
01/02/2020,10 AM,22.02,1
12/09/2019,12 AM,14.02,1
01/07/2020,11 AM,144.0,1
04/27/2019,10 AM,143.0,1
10/04/2019,11 AM,83.02,1
01/06/2020,12 PM,227.0,1
01/04/2020,10 AM,131.04,1
01/13/2020,07 AM,169.0,1
11/14/2019,05 PM,114.01,1
01/14/2020,04 PM,1223.0,1
01/04/2020,12 PM,134.0,1
01/12/2020,10 AM,145.0,1
01/09/2020,02 PM,7.01,1
11/25/2019,10 PM,122.0,1
01/07/2019,02 PM,113.0,1
12/16/2019,03 AM,131.04,1
01/03/2020,09 PM,83.02,1
01/06/2020,01 PM,122.02,1
01/13/2020,09 AM,185.02,1
01/09/2020,10 AM,1167.0,1
01/10/2020,11 AM,116.02,1
01/09/2020,11 AM,1247.0,1
12/05/2019,01 PM,21.01,1
01/11/2020,07 AM,50.02,1
09/20/2019,10 AM,47.0,1
11/25/2019,03 PM,114.01,1
01/02/2020,07 AM,106.02,1
12/26/2019,03 PM,1099.0,1
01/07/2020,06 PM,97.03,1
01/14/2020,12 PM,119.02,1
01/14/2020,10 AM,14.02,1
01/09/2020,09 AM,1193.0,1
01/03/2020,02 PM,132.02,1
04/11/2019,08 PM,871.0,1
12/24/2019,07 PM,23.0,1
03/21/2019,07 PM,92.0,1
12/23/2019,12 PM,1241.0,1
12/09/2019,08 AM,47.0,1
12/24/2019,12 PM,7.0,1
12/11/2019,08 PM,166.0,1
11/20/2019,11 AM,45.0,1
11/03/2019,03 PM,1467.0,1
01/06/2020,11 AM,123.04,1
10/10/2019,03 PM,50.02,1
01/14/2020,04 PM,54.0,1
10/26/2019,11 AM,799.0,1
01/07/2020,09 AM,757.01,1
12/31/2019,10 AM,132.02,1
01/14/2020,10 AM,24.02,1
01/14/2020,10 AM,248.0,1
12/23/2019,08 AM,444.0,1
05/09/2019,08 AM,68.0,1
01/09/2020,08 PM,13.02,1
12/08/2019,10 AM,16.0,1
01/02/2020,09 AM,1093.0,1
12/12/2019,10 PM,111.0,1
12/11/2019,11 AM,93.0,1
01/08/2020,10 AM,109.02,1
06/05/2019,12 PM,170.0,1
11/26/2019,07 AM,22.03,1
11/18/2019,01 PM,318.0,1
01/06/2020,09 AM,123.04,1
12/28/2019,12 AM,59.02,1
12/05/2019,09 AM,1417.0,1
02/04/2019,08 AM,97.01,1
11/15/2019,10 AM,1113.0,1
12/11/2019,11 AM,799.0,1
12/18/2019,01 PM,30.01,1
12/23/2019,10 AM,59.02,1
11/07/2019,08 AM,463.0,1
01/13/2020,11 AM,126.01,1
01/06/2020,11 AM,2.0,1
01/10/2020,02 PM,63.02,1
12/13/2019,09 AM,68.02,1
06/04/2019,08 AM,94.0,1
01/13/2020,10 AM,101.0,1
01/13/2020,02 PM,77.0,1
12/26/2019,12 PM,113.0,1
12/11/2019,11 AM,89.0,1
01/03/2020,09 AM,135.0,1
01/13/2020,01 PM,97.01,1
05/26/2019,05 PM,69.0,1
12/27/2019,11 AM,132.02,1
01/12/2020,09 AM,85.0,1
07/02/2019,09 AM,50.02,1
12/13/2019,11 AM,114.02,1
11/26/2019,10 AM,137.0,1
12/20/2019,08 AM,1223.0,1
12/12/2019,09 PM,997.05,1
12/17/2019,08 AM,22.02,1
12/11/2019,12 PM,128.04,1
12/29/2019,07 AM,177.0,1
01/08/2020,08 AM,45.0,1
09/11/2019,08 AM,91.0,1
01/13/2020,10 AM,82.0,1
12/08/2019,08 PM,1347.02,1
01/10/2020,12 PM,146.06,1
12/18/2019,08 AM,146.04,1
12/03/2019,05 PM,859.0,1
01/04/2020,03 PM,150.02,1
01/07/2020,08 AM,137.0,1
08/09/2019,12 PM,90.0,1
12/13/2019,04 PM,120.0,1
01/10/2020,10 PM,1175.0,1
12/29/2019,05 PM,108.03,1
01/14/2020,01 PM,80.0,1
12/29/2019,02 PM,166.0,1
12/21/2019,09 AM,245.0,1
01/03/2020,11 AM,36.01,1
01/12/2020,09 AM,109.02,1
12/20/2019,03 PM,17.02,2
11/26/2019,10 AM,71.0,1
09/25/2019,06 PM,1459.0,1
11/15/2019,07 AM,21.01,1
12/21/2019,01 PM,144.0,1
01/13/2020,11 AM,123.03,1
12/05/2019,08 AM,61.0,1
12/28/2019,08 AM,1551.04,1
11/26/2019,12 PM,67.0,1
12/31/2019,11 AM,13.01,1
11/15/2019,09 AM,119.02,1
01/13/2020,09 AM,132.02,1
05/25/2019,07 AM,41.0,1
01/12/2020,05 PM,232.0,1
01/06/2020,08 AM,146.06,1
01/14/2020,12 PM,145.0,1
08/27/2019,12 PM,87.0,1
01/07/2020,11 AM,159.0,1
01/07/2020,08 AM,123.03,1
01/03/2020,07 AM,157.0,1
06/14/2019,11 AM,114.02,1
02/15/2018,02 PM,113.0,1
10/10/2019,11 AM,63.02,1
09/20/2019,05 PM,1507.02,1
11/20/2019,02 PM,1551.04,1
01/10/2020,11 AM,1403.0,1
01/12/2020,01 PM,111.01,1
05/24/2019,10 AM,81.0,1
11/26/2019,03 PM,102.0,1
01/08/2020,09 AM,123.04,1
12/27/2019,09 PM,76.0,1
11/15/2019,12 PM,21.01,1
01/09/2020,04 PM,83.02,1
01/09/2020,05 PM,326.0,1
12/10/2019,10 AM,87.0,1
11/26/2019,01 PM,945.0,1
01/07/2020,02 PM,205.0,1
12/21/2019,07 PM,52.0,1
01/02/2020,11 AM,7.0,1
08/26/2019,12 PM,22.01,1
12/20/2019,09 AM,23.0,1
08/09/2017,03 PM,107.01,1
12/25/2019,10 AM,99.0,1
01/03/2020,12 PM,189.0,1
12/13/2019,10 AM,19.0,1
12/12/2019,05 PM,97.03,1
12/16/2019,05 PM,17.01,1
01/02/2020,08 AM,109.01,1
01/09/2020,10 AM,125.0,1
12/31/2019,04 PM,181.01,1
01/02/2020,11 AM,79.01,1
10/02/2019,01 PM,907.0,1
01/08/2020,09 AM,74.01,1
01/07/2020,09 AM,55.0,1
12/13/2019,02 PM,111.01,1
12/06/2019,08 AM,1567.0,1
12/21/2019,06 PM,1571.01,1
01/02/2020,06 PM,230.0,1
01/05/2020,10 AM,295.0,1
01/04/2020,06 PM,111.0,1
12/31/2019,01 PM,71.0,1
12/27/2019,10 AM,113.0,1
01/14/2020,01 PM,45.0,1
12/03/2019,08 AM,50.02,1
01/13/2020,11 AM,1129.0,1
07/09/2019,03 PM,48.0,1
11/09/2019,01 PM,45.0,1
01/07/2020,10 AM,869.0,1
11/26/2019,09 AM,1257.0,1
11/20/2019,03 PM,89.01,1
12/04/2019,09 AM,68.01,1
01/08/2020,08 AM,138.0,1
12/22/2019,01 AM,144.0,1
01/06/2020,10 AM,518.0,1
01/06/2020,03 PM,26.02,1
01/07/2020,05 PM,266.02,1
11/15/2019,11 AM,123.01,1
04/04/2019,02 PM,195.0,1
01/03/2020,11 AM,24.03,1
01/13/2020,11 AM,779.02,1
12/03/2019,08 AM,163.0,1
01/06/2020,03 PM,139.0,1
01/07/2020,01 PM,1471.0,1
11/11/2019,12 PM,151.0,1
01/04/2020,09 AM,70.0,1
01/04/2020,11 AM,462.09,1
12/26/2019,10 AM,85.0,1
01/14/2020,12 PM,100.0,1
01/14/2020,08 PM,193.0,1
11/14/2019,01 PM,143.0,1
12/21/2019,04 PM,1463.0,1
12/07/2019,12 PM,28.0,1
01/06/2020,10 AM,137.0,1
01/09/2020,04 PM,1459.0,1
12/24/2019,09 AM,99.0,1
12/20/2019,10 AM,8.01,1
01/07/2020,12 PM,385.0,1
01/12/2020,01 PM,15.01,1
12/06/2019,02 PM,67.0,1
12/05/2019,01 PM,67.0,1
01/14/2020,08 PM,197.01,1
01/06/2020,12 PM,137.0,1
11/28/2019,11 AM,68.01,1
06/27/2019,03 PM,74.01,1
12/06/2019,11 AM,1215.0,1
12/20/2019,04 PM,542.0,1
12/01/2019,12 PM,184.0,1
02/06/2019,12 PM,22.02,1
12/09/2019,02 PM,152.0,1
12/21/2019,09 PM,40.01,1
01/09/2020,12 PM,11.01,1
12/22/2019,09 PM,19.0,1
01/14/2020,01 PM,67.0,1
12/08/2019,10 AM,229.02,1
09/13/2019,05 PM,81.0,1
01/10/2020,11 AM,179.0,1
01/13/2020,10 AM,23.0,1
01/13/2020,01 PM,109.03,1
12/20/2019,10 PM,50.02,1
12/06/2019,12 PM,16.0,1
12/26/2019,04 PM,1571.01,1
12/13/2019,09 PM,1207.01,1
01/02/2020,02 PM,141.0,1
01/02/2020,04 PM,121.01,1
01/03/2020,01 PM,7.0,1
12/14/2019,10 AM,1093.0,1
01/18/2019,01 PM,151.0,1
01/15/2020,09 AM,15.03,1
01/15/2020,11 AM,123.01,1
01/15/2020,05 PM,51.0,2
01/15/2020,09 AM,98.0,1
01/16/2020,11 AM,21.04,1
01/15/2020,01 PM,139.0,1
01/15/2020,10 AM,1483.0,1
01/16/2020,12 PM,99.0,1
01/15/2020,08 AM,803.02,1
01/16/2020,01 PM,1617.0,1
01/16/2020,07 AM,51.0,1
01/15/2020,03 PM,59.02,1
01/15/2020,04 PM,99.0,1
01/15/2020,01 PM,113.0,1
01/15/2020,07 AM,102.0,1
01/15/2020,12 PM,97.02,1
01/15/2020,09 AM,157.0,1
01/16/2020,09 AM,139.0,1
01/16/2020,02 PM,139.0,1
01/15/2020,02 PM,236.0,1
01/15/2020,09 AM,997.01,1
01/16/2020,06 PM,84.03,1
01/15/2020,01 PM,72.0,1
01/15/2020,01 PM,68.02,1
01/15/2020,11 AM,32.0,1
01/15/2020,02 PM,83.02,1
01/15/2020,02 PM,107.02,1
01/15/2020,09 PM,70.01,1
01/15/2020,06 PM,106.0,1
01/16/2020,04 PM,67.0,1
01/17/2020,01 AM,155.0,1
01/15/2020,10 AM,148.11,1
01/15/2020,09 PM,105.0,1
01/15/2020,04 PM,76.0,1
01/15/2020,02 PM,99.0,1
01/15/2020,10 AM,143.0,1
01/15/2020,01 PM,240.0,1
01/15/2020,04 PM,114.01,1
01/16/2020,01 PM,1333.0,1
01/16/2020,07 AM,1291.03,1
01/15/2020,12 PM,83.01,1
01/15/2020,04 PM,106.0,1
01/16/2020,08 AM,32.0,1
01/15/2020,10 PM,68.01,1
01/16/2020,09 AM,50.02,1
